TIME,MEMORY
09:39:13,12854080
09:39:15,12854080
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2560
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2560
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2816
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2816
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2560
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2560
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
APM,6144
APPLICATION,2240
APPL_SHARED,12160
BP,11464704
BSU,5888
CAT_CACHE,1280
DATABASE,140416
EDU,8064
FCMBP,8960
FCM_CHANNEL,8512
FCM_CONTROL,2688
FCM_LOCAL,0
FCM_SESSION,1792
FEDERATED,64
KERNEL,29120
KERNEL_CONTROL,6400
LOCK_MGR,1065152
MISC,768
MONITOR,1024
OSS_TRACKER,512
PACKAGE_CACHE,16768
PERSISTENT_PRIVATE,27072
PRIVATE,36608
RESYNC,2496
SHARED_SORT,2816
SQL_COMPILER,2752
USER_DATA,2688
UTILITY,2048
XMLCACHE,192
12:47:05,2368,1065152,16960,36608
12:47:07,2368,1065152,16960,36608
12:47:09,2368,1065152,16960,36608
12:47:11,2368,1065152,16960,36608
12:47:13,2368,1065152,16960,36608
12:47:15,2368,1065152,16960,36608
12:47:17,2368,1065152,16960,36608
12:47:19,2368,1065152,16960,36608
12:47:21,2368,1065152,16960,36608
12:47:23,2368,1065152,16960,36608
12:47:25,2368,1065152,16960,36608
12:47:28,2368,1065152,16960,36608
12:47:30,2368,1065152,16960,36608
12:47:32,2368,1065152,16960,36608
