time,NODE1,NODE2,NODE3
2015-04-12 16:25:00.0,0.5,1.15,0.51
2015-04-12 16:26:00.0,0.51,1.14,0.51
2015-04-12 16:27:00.0,0.48,1.11,0.52
2015-04-12 16:28:00.0,0.51,1.15,0.48
2015-04-12 16:29:00.0,0.51,1.16,0.51
2015-04-12 16:30:00.0,0.52,1.13,0.52
2015-04-12 16:31:00.0,0.49,1.22,0.56
2015-04-12 16:32:00.0,0.51,1.16,0.51
2015-04-12 16:33:00.0,0.48,1.08,0.51
2015-04-12 16:34:00.0,0.54,1.09,0.53
2015-04-12 16:35:00.0,0.52,1.11,0.5
2015-04-12 16:36:00.0,0.5,1.07,0.5
2015-04-12 16:37:00.0,0.53,1.08,0.51
2015-04-12 16:38:00.0,0.51,1.12,0.51
2015-04-12 16:39:00.0,0.51,1.15,0.49
2015-04-12 16:40:00.0,0.5,1.12,0.52
2015-04-12 16:41:00.0,0.55,1.19,0.58
2015-04-12 16:42:00.0,0.54,1.38,0.64
2015-04-12 16:43:00.0,0.51,1.26,0.63
2015-04-12 16:44:00.0,0.55,1.34,0.53
2015-04-12 16:45:00.0,0.52,1.22,0.54
2015-04-12 16:46:00.0,0.48,1.15,0.49
2015-04-12 16:47:00.0,0.49,1.13,0.51
2015-04-12 16:48:00.0,0.51,1.09,0.52
2015-04-12 16:49:00.0,0.52,1.1,0.5
2015-04-12 16:50:00.0,0.53,1.13,0.5
2015-04-12 16:51:00.0,0.5,1.95,0.51
2015-04-12 16:52:00.0,0.51,1.69,0.51
2015-04-12 16:53:00.0,0.49,1.1,0.52
2015-04-12 16:54:00.0,0.51,1.07,0.53
2015-04-12 16:55:00.0,0.52,1.18,0.52
2015-04-12 16:56:00.0,0.53,1.15,0.54
2015-04-12 16:57:00.0,0.54,1.13,0.52
2015-04-12 16:58:00.0,0.86,1.16,0.5
2015-04-12 16:59:00.0,0.53,1.17,0.51
2015-04-12 17:00:00.0,0.53,1.09,0.53
2015-04-12 17:01:00.0,0.52,1.11,0.54
2015-04-12 17:02:00.0,0.53,1.16,0.52
2015-04-12 17:03:00.0,0.75,1.29,0.58
2015-04-12 17:04:00.0,0.54,1.21,0.57
2015-04-12 17:05:00.0,0.56,1.27,0.54
2015-04-12 17:06:00.0,0.53,1.21,0.54
2015-04-12 17:07:00.0,0.6,1.22,0.59
2015-04-12 17:08:00.0,0.63,1.23,0.6
2015-04-12 17:09:00.0,0.62,1.28,0.61
2015-04-12 17:10:00.0,0.57,1.2,0.56
2015-04-12 17:11:00.0,0.55,1.17,0.52
2015-04-12 17:12:00.0,0.56,1.2,0.53
2015-04-12 17:13:00.0,0.54,1.16,0.51
2015-04-12 17:14:00.0,0.54,1.17,0.54
2015-04-12 17:15:00.0,0.55,1.22,0.56
2015-04-12 17:16:00.0,0.53,1.17,0.53
2015-04-12 17:17:00.0,0.53,1.41,0.57
2015-04-12 17:18:00.0,0.54,1.13,0.5
2015-04-12 17:19:00.0,0.52,1.18,0.53
2015-04-12 17:20:00.0,0.54,1.17,0.56
2015-04-12 17:21:00.0,0.53,1.18,0.56
2015-04-12 17:22:00.0,0.53,1.17,0.52
2015-04-12 17:23:00.0,0.55,1.15,0.52
2015-04-12 17:24:00.0,0.55,1.14,0.53
2015-04-12 17:25:00.0,0.55,1.21,0.53
2015-04-12 17:26:00.0,0.49,1.16,0.52
2015-04-12 17:27:00.0,0.52,1.16,0.53
2015-04-12 17:28:00.0,0.53,1.14,0.52
2015-04-12 17:29:00.0,0.54,1.16,0.54
2015-04-12 17:30:00.0,0.54,1.17,0.54
2015-04-12 17:31:00.0,0.56,1.19,0.52
2015-04-12 17:32:00.0,0.55,1.18,0.53
2015-04-12 17:33:00.0,0.55,1.17,0.53
2015-04-12 17:34:00.0,0.57,1.19,0.57
2015-04-12 17:35:00.0,0.57,1.18,0.54
2015-04-12 17:36:00.0,0.57,1.21,0.57
2015-04-12 17:37:00.0,0.58,1.32,0.59
2015-04-12 17:38:00.0,0.55,1.2,0.52
2015-04-12 17:39:00.0,0.56,1.34,0.51
2015-04-12 17:40:00.0,0.54,1.24,0.56
2015-04-12 17:41:00.0,0.53,1.13,0.54
2015-04-12 17:42:00.0,0.55,1.12,0.53
2015-04-12 17:43:00.0,0.54,1.16,0.52
2015-04-12 17:44:00.0,0.58,1.16,0.55
2015-04-12 17:45:00.0,0.55,1.17,0.54
2015-04-12 17:46:00.0,0.57,1.21,0.54
2015-04-12 17:47:00.0,0.57,1.17,0.58
2015-04-12 17:48:00.0,0.54,1.19,0.57
2015-04-12 17:49:00.0,0.53,1.17,0.53
2015-04-12 17:50:00.0,0.54,1.2,0.52
2015-04-12 17:51:00.0,0.53,2.17,0.56
2015-04-12 17:52:00.0,0.53,1.7,0.56
2015-04-12 17:53:00.0,0.51,1.18,0.6
2015-04-12 17:54:00.0,0.57,1.17,0.59
2015-04-12 17:55:00.0,7.0,5.2,4.08
2015-04-12 17:56:00.0,6.62,5.03,4.71
2015-04-12 17:57:00.0,0.52,1.16,0.53
2015-04-12 17:58:00.0,0.55,1.2,0.6
2015-04-12 17:59:00.0,0.62,1.3,0.59
2015-04-12 18:00:00.0,2.71,2.46,1.72
2015-04-12 18:01:00.0,5.55,4.39,4.27
2015-04-12 18:02:00.0,1.03,1.52,1.03
2015-04-12 18:03:00.0,0.54,1.16,0.56
2015-04-12 18:04:00.0,0.58,1.21,0.58
2015-04-12 18:05:00.0,0.66,1.3,0.73
2015-04-12 18:06:00.0,0.56,1.32,3.63
2015-04-12 18:07:00.0,41.14,43.63,51.41
2015-04-12 18:08:00.0,58.2,57.53,67.92
2015-04-12 18:09:00.0,75.45,72.79,75.2
2015-04-12 18:10:00.0,59.82,60.16,69.1
2015-04-12 18:11:00.0,60.04,55.51,67.77
2015-04-12 18:12:00.0,58.93,55.81,68.42
2015-04-12 18:13:00.0,31.83,32.6,39.69
2015-04-12 18:14:00.0,3.68,4.35,2.87
2015-04-12 18:15:00.0,9.17,7.84,4.7
2015-04-12 18:16:00.0,0.55,1.08,0.61
2015-04-12 18:17:00.0,0.62,1.12,0.53
2015-04-12 18:18:00.0,0.65,1.13,0.52
2015-04-12 18:19:00.0,0.56,1.15,0.54
2015-04-12 18:20:00.0,0.56,1.12,0.56
2015-04-12 18:21:00.0,0.58,1.14,0.54
2015-04-12 18:22:00.0,0.63,1.15,0.54
2015-04-12 18:23:00.0,0.56,1.14,0.56
2015-04-12 18:24:00.0,0.64,1.12,0.58
2015-04-12 18:25:00.0,0.53,1.14,0.58
2015-04-12 18:26:00.0,0.56,1.13,0.55
2015-04-12 18:27:00.0,0.5,1.11,0.58
2015-04-12 18:28:00.0,0.54,1.14,0.53
2015-04-12 18:29:00.0,0.53,1.11,0.52
2015-04-12 18:30:00.0,0.58,1.15,0.56
2015-04-12 18:31:00.0,0.53,1.15,0.57
2015-04-12 18:32:00.0,0.69,1.28,0.59
2015-04-12 18:33:00.0,0.8,1.33,0.6
2015-04-12 18:34:00.0,0.8,1.24,0.58
2015-04-12 18:35:00.0,0.71,1.3,0.59
2015-04-12 18:36:00.0,0.6,1.13,0.52
2015-04-12 18:37:00.0,0.53,1.12,0.55
2015-04-12 18:38:00.0,0.53,1.18,0.56
2015-04-12 18:39:00.0,0.53,1.24,0.62
2015-04-12 18:40:00.0,0.55,1.18,0.69
2015-04-12 18:41:00.0,0.57,1.15,0.65
2015-04-12 18:42:00.0,0.59,1.13,0.64
2015-04-12 18:43:00.0,0.58,1.13,0.55
2015-04-12 18:44:00.0,0.63,1.1,0.56
2015-04-12 18:45:00.0,0.59,1.15,0.61
2015-04-12 18:46:00.0,0.57,1.12,0.54
2015-04-12 18:47:00.0,0.5,1.1,0.53
2015-04-12 18:48:00.0,0.52,1.12,0.54
2015-04-12 18:49:00.0,0.51,1.16,0.51
2015-04-12 18:50:00.0,0.53,1.13,0.56
2015-04-12 18:51:00.0,0.59,2.08,0.65
2015-04-12 18:52:00.0,0.5,1.91,0.58
2015-04-12 18:53:00.0,0.62,1.13,0.58
2015-04-12 18:54:00.0,0.65,1.17,0.57
2015-04-12 18:55:00.0,0.71,1.15,0.54
2015-04-12 18:56:00.0,0.61,1.25,0.52
2015-04-12 18:57:00.0,0.57,1.15,0.52
2015-04-12 18:58:00.0,0.65,1.15,0.61
2015-04-12 18:59:00.0,0.59,1.17,0.55
2015-04-12 19:00:00.0,0.51,1.15,0.54
2015-04-12 19:01:00.0,0.58,1.18,0.58
2015-04-12 19:02:00.0,0.58,1.11,0.52
2015-04-12 19:03:00.0,0.64,1.12,0.52
2015-04-12 19:04:00.0,0.68,1.12,0.54
2015-04-12 19:05:00.0,0.54,1.12,0.52
2015-04-12 19:06:00.0,0.51,1.13,0.54
2015-04-12 19:07:00.0,0.58,1.14,0.52
2015-04-12 19:08:00.0,0.67,1.16,0.51
