TIME,APPLICATION,SHAREDSORT,LOCKLIST,PACKAGECACHE,PRIVATE
14:53:14,3392,2304,136000,1856,73984
14:53:16,3392,2304,136000,1856,73984
14:53:18,3392,2304,136000,1856,73984
14:53:20,3392,2304,136000,1856,73984
14:53:22,3392,2304,136000,1856,73984
14:53:24,3392,2304,136000,1856,73984
14:53:26,3392,2304,136000,1856,73984
14:53:28,3392,2304,136000,1856,73984
14:53:30,3392,2304,136000,1856,73984
14:53:32,3392,2304,136000,1856,73984
14:53:34,3520,2304,136000,1856,73984
14:53:36,3520,2304,136000,1856,73984
14:53:38,3520,2304,136000,1856,73984
14:53:40,3392,2304,136000,1856,73984
14:53:42,3392,2304,136000,1856,73984
14:53:44,3392,2304,136000,1856,73984
14:53:46,3392,2304,136000,1856,73984
14:53:48,3392,2304,136000,1856,73984
14:53:50,3392,2304,136000,1856,73984
14:53:52,3392,2304,136000,1856,73984
14:53:54,3392,2304,136000,1856,73984
14:53:56,3392,2304,136000,1856,73984
14:53:58,3392,2304,136000,1856,73984
14:54:00,3392,2304,136000,1856,73984
14:54:02,3392,2304,136000,1856,73984
14:54:04,3392,2304,136000,1856,73984
14:54:06,3392,2304,136000,1856,73984
14:54:08,3264,2304,136000,1856,73920
14:54:10,3392,2304,136000,1856,74496
14:54:12,3392,2304,136000,1856,74496
14:54:14,3392,2304,136000,1856,74496
14:54:16,3392,2304,136000,1856,74496
14:54:18,3392,2304,136000,1856,74496
14:54:20,3392,2304,136000,1856,74496
14:54:22,3392,2304,136000,1856,74752
14:54:24,3392,2304,136000,1856,74496
14:54:26,3392,2304,136000,1856,74496
14:54:28,3392,2304,136000,1856,74496
14:54:30,3392,2304,136000,1856,74496
14:54:32,3392,2304,136000,1856,74496
14:54:34,3392,2304,136000,1856,74496
14:54:36,3392,2304,136000,1856,74496
14:54:38,3392,2304,136000,1856,74496
14:54:40,34432,1073344,136000,1856,79296
14:54:42,36736,1895616,136000,1856,79296
14:54:44,36928,1896640,136000,1856,79296
14:54:46,37568,1909952,136000,1856,79296
14:54:48,37568,1912000,136000,1856,79296
14:54:50,37568,1899712,136000,1856,79296
14:54:52,37760,1918144,136000,1856,79296
14:54:54,44864,2325440,136000,1856,81024
14:54:56,59584,2408384,136000,1856,80576
14:54:58,71744,2878400,136000,1856,80576
14:55:00,79680,3107776,136000,1856,80576
14:55:02,80832,3791872,136000,1856,80576
14:55:04,80896,3684544,136000,1856,80832
14:55:06,84736,3344320,136000,1856,80576
14:55:08,88000,3383232,136000,1856,80576
14:55:10,88768,3392448,136000,1856,80832
14:55:12,89344,3396544,136000,1856,81088
14:55:14,89344,3399616,136000,1856,81088
14:55:16,89344,3398592,136000,1856,81088
14:55:18,157248,3494848,136000,1856,81088
14:55:20,175616,3522496,136000,1856,81088
14:55:22,164736,3510208,136000,1856,81280
14:55:24,163520,3494848,136000,1856,81280
14:55:26,171584,3487680,136000,1856,81280
14:55:28,166784,3456960,136000,1856,81280
14:55:30,173376,3465152,136000,1856,81280
14:55:32,168256,3454912,136000,1856,81280
14:55:34,177536,3455936,136000,1856,81280
14:55:36,177600,3456960,136000,1856,81280
14:55:38,168000,3451840,136000,1856,81280
14:55:40,171520,3434432,136000,1856,81280
14:55:42,173376,3427264,136000,1856,81536
14:55:44,188416,3425216,136000,1856,81280
14:55:46,182656,3419072,136000,1856,81280
14:55:48,176576,3403712,136000,1856,81280
14:55:50,179136,3401664,136000,1856,81280
14:55:52,176256,3398592,136000,1856,80768
14:55:54,176256,3394496,136000,1856,80768
14:55:56,179072,3395520,136000,1856,80768
14:55:58,188992,3392448,136000,1856,80768
14:56:00,186752,3390400,136000,1856,80768
14:56:02,195072,3390400,136000,1856,80768
14:56:04,183232,3388352,136000,1856,80768
14:56:06,188992,3384256,136000,1856,80768
14:56:08,185280,3383232,136000,1856,80704
14:56:10,191808,3393472,136000,1856,81280
14:56:12,193088,3388352,136000,1856,81280
14:56:14,189888,3382208,136000,1856,81280
14:56:16,189888,3381184,136000,1856,81280
14:56:18,185088,3406912,136000,1856,81280
14:56:20,185088,2912960,136000,1856,81280
14:56:22,185088,2912960,136000,1856,81280
14:56:25,185088,2912960,136000,1856,81280
14:56:27,185088,3233216,136000,1856,81280
14:56:29,185088,3233216,136000,1856,81280
14:56:32,186304,3321152,136000,1856,81280
14:56:35,186304,3320128,136000,1856,80832
14:56:38,187072,3315008,136000,1856,80832
14:56:40,187072,3315008,136000,1856,80320
14:56:42,187072,3313984,136000,1856,80320
14:56:45,187840,3312960,136000,1856,80320
14:56:47,187840,3309888,136000,1856,80320
14:56:50,187840,3308864,136000,1856,80320
14:56:52,187904,3308864,136000,1856,80320
14:56:55,187968,3308864,136000,1856,80320
14:56:57,188288,2897792,136000,1856,80320
14:57:00,188288,2897792,136000,1856,80320
14:57:02,191616,3194560,136000,1856,80320
14:57:05,194048,3193536,136000,1856,80320
14:57:08,194944,3191488,136000,1856,80320
14:57:11,195456,3190464,136000,1856,81088
14:57:14,196928,3190464,136000,1856,80832
14:57:17,197888,3185344,136000,1856,80832
14:57:20,198016,3184320,136000,1856,80832
14:57:23,198464,3184320,136000,1856,80832
14:57:26,198720,3183296,136000,1856,80832
14:57:29,198784,3183296,136000,1856,80832
